L1,01195-01247-02090-01172,L2:1,B:B1-2,0
L2,00348-01310-01842-74125,L1:1.L3:1.L4:1.L5:1,B:B1-2,0
L3,01069-01166,L6:1.L2:1,B:B1-2,0
L4,01420-01690,L5:1.L2:1.L7:1,B:B1-2,0
L5,,L2:1.L4:1.L16:2,B:B1-2,bb12l
L6,01031-01579,L7:1.L8:1.L3:1,B:B1-2,0
L7,01588-02013,L8:1.L6:1.L4:1,B:B1-2,0
L8,00864-01004-01143-01021,L9:1.L6:1.L7:1,B:B1-2,0
L9,00883-00606-01173,L8:1.L14:2.L18:1,B:B1-2,bb12e
L10,00901-01203,L11:1.L17:1,B:LB-2,0
L11,00015-01996,L12:1.L10:1,B:LB-2,0
L12,01597-01851,L13:1.L11:1,B:LB-2,0
L13,00228-00416,L14:1.L12:1,B:LB-2,0
L14,01400-00166,L15:1.L9:2.L13:1,B:LB-2,blb2e
L15,00745,L16:1.L14:1,B:LB-2,0
L16,,L17:1.L5:2.L15:1,B:LB-2,blb2l
L17,00116,L16:1.L10:1,B:LB-2,0
L18,00705-01237-01479-01483-00819-01796,L9:1.L19:1,B:B1-1,0
L19,01798-01896-01402-01120-01116,L20:1.L18:1,B:B1-1,0
L20,01506-01042-01358-00237,L21:1.L19:1,B:B1-1,1
L21,00679-01216-00620,L22:1.L20:1,B:B1-1,0
L22,00690-01006-00938-01780,L23:1.L21:1,B:B1-1,1
L23,00710-01683-01962-01583,L24:1.L22:1,B:B1-1,0
L24,01627-01584-01582,L25:1.L23:1,B:B1-1,0
L25,01629-01451,L26:1.L27:1.L24:1,B:B1-1,0
L26,01923-01799,L27:1.L25:1,A:B1,0
L27,,L26:1.L25:1,A:B1,1
